PERSONAL INFORMATION,,,,,,,,,,
Name,Dietary Restrictions,Home ,Goals,Collection Date,,,,,,
Mykonian House,113,8.2,Greek,"Upper East Side, Manhattan",$$,9/14/24,Restaurants,,,
Raku,114,8.2,Japenese,"Upper West Side, Manhattan",$$,4/13/24,Restaurants,,,
Izakaya MEW,115,8.1,"Japanese, Yakitori","Midtown South, Manhattan",$$,6/17/24,Restaurants,,,
Jin Ramen Upper West Side,116,8.1,"Japanese, Ramen","Upper West Side, Manhattan",$$,8/8/24,Restaurants,,,
Jonquils Cafe and Bakery,117,8.1,Bakery,"Back Bay, Boston, MA",$$$,9/20/24,Bakeries,,,
Kyuramen,118,8.1,"Ramen, Japanese, Bubble Tea","Bloomingdale, Manhattan",$$,8/8/24,Restaurants,,,
"Levain Bakery – Original Location, 74th St, NYC",119,8.1,Cookies,"Upper West Side, Manhattan",$$,8/8/24,Bakeries,,,
Max Brenner Chocolate Bar,120,8.1,"Dessert, Fondue, Chocolate Shop","Greenwich Village, Manhattan",$$,8/8/24,Ice Cream & Desserts,,,
red poke,121,8.1,"Korean, Poke","Midtown West, Manhattan",$,8/26/24,Restaurants,,,
Sapps,122,8.1,Japanese,"Morningside Heights, Manhattan",$$,6/10/24,Restaurants,,,
Ippudo Westside,123,8.0,"Japanese, Ramen","Hell's Kitchen, Manhattan",$$,3/2/24,Restaurants,,,
Kyuramen - Times Square,124,8.0,Ramen,"Hell's Kitchen, Manhattan",$$,3/2/24,Restaurants,,,
Philippe Chow,125,8.0,"Asian, Chinese","Lenox Hill, Manhattan",$$$,8/8/24,Restaurants,,,
Pinch Chinese,126,8.0,"Asian, Chinese, Szechuan, Taiwanese","SoHo, Manhattan",$$,4/24/24,Restaurants,,,
The Spaniard,127,8.0,"American, Cocktail Bar","South Village, Manhattan",$$,3/2/24,Bars,,,
Café Ginori at Bergdorf Goodman,128,7.9,Italian,"Midtown West, Manhattan",$$$,2/11/24,Coffee & Tea,,,
Cathédrale Restaurant,129,7.9,French,"East Village, Manhattan",$$$,8/8/24,Restaurants,,,
CHILI,130,7.9,"Chinese, Sichuan, Szechuan","Midtown South, Manhattan",$$,10/13/24,Restaurants,,,
The Garret,131,7.9,"Bar, Cocktail Bar","West Village, Manhattan",$$,4/5/24,Bars,,,
Bar Primi Penn District,132,7.8,"Italian, American","Midtown South, Manhattan",$$$,8/23/24,Restaurants,,,
Bohemian,133,7.8,Japanese,"NoHo, Manhattan",$$$,3/12/24,Restaurants,,,
Cafe Auburndale,134,7.8,"Korean, Dessert, Café","Flushing, Queens",$$,3/2/24,Ice Cream & Desserts,,,
For Five Coffee Times Square,135,7.8,Coffee Shop,"Theater District, Manhattan",$,8/22/24,Coffee & Tea,,,
La Masseria NY,136,7.8,Italian,"Theater District, Manhattan",$$$,3/2/24,Restaurants,,,
Masseria dei Vini,137,7.8,Italian,"Hell's Kitchen, Manhattan",$$$,8/8/24,Restaurants,,,
Pinto Garden,138,7.8,Thai,"West Village, Manhattan",$$$,9/4/24,Restaurants,,,
Sant Ambroeus West Village,139,7.8,"Café, Italian","West Village, Manhattan",$$$,8/8/24,Restaurants,,,
The Headless Widow,140,7.8,Cocktail Bar,"Ukrainian Village, Manhattan",$$,8/25/24,Bars,,,
abc kitchen,141,7.7,American,"Midtown Manhattan, Manhattan",$$$,3/2/24,Restaurants,,,
Daily Provisions - Union Square,142,7.7,Brunch,"Gramercy Park, Manhattan",$$,3/2/24,Coffee & Tea,,,
NOMO Kitchen,143,7.7,American,"Lower Manhattan, Manhattan",$$$,3/2/24,Restaurants,,,
NOMO SOHO,144,7.7,American,"Lower Manhattan, Manhattan",$$$,8/18/24,Restaurants,,,
Radegast Hall & Biergarten,145,7.7,"Bar Food, German, Brewery","Williamsburg, Brooklyn",$$,6/22/24,Bars,,,
Anār,146,7.6,American,"Manhattan Valley, Manhattan",$$$,8/8/24,Restaurants,,,
Barcelona Wine Bar,147,7.6,"Spanish, Tapas, Wine Bar","South End, Boston, MA",$$,9/12/24,Restaurants,,,
BATSU!,148,7.6,Japanese,"Ukrainian Village, Manhattan",$$$,8/29/24,Restaurants,,,
BIAO Sugar,149,7.6,Bubble Tea,"Midtown South, Manhattan",$,3/2/24,Coffee & Tea,,,
Cookshop,150,7.6,American,"Chelsea, Manhattan",$$$,8/8/24,Restaurants,,,
Cozy Corner Cafe,151,7.6,"American, Breakfast","Cold Spring, NY",$$,8/5/24,Restaurants,,,
Lillie's Victorian Establishment,152,7.6,"American, Bar Food, British, Irish","Theater District, Manhattan",$$,3/2/24,Bars,,,
Magnolia Bakery - Rockefeller Center,153,7.6,"Bakery, Dessert","Midtown Manhattan, Manhattan",$$,3/2/24,Bakeries,,,
Oscar Wilde,154,7.6,Bar,"NoMad, Manhattan",$$$,3/2/24,Bars,,,
Tartinery Café - Bar | Columbus Circle,155,7.6,"Café, Brunch","Midtown Manhattan, Manhattan",$$,3/2/24,Restaurants,,,
Day June Luncheonette,156,7.5,"American, Brunch","East Windham, NY",$$,10/20/24,Restaurants,,,
La Lanterna di Vittorio,157,7.5,Italian,"South Village, Manhattan",$$,7/6/24,Restaurants,,,
Marlow Bistro,158,7.5,"Bistro, Mediterranean","Bloomingdale, Manhattan",$$,6/10/24,Restaurants,,,
Miss Saigon,159,7.5,Vietnamese,"Bloomingdale, Manhattan",$$,8/8/24,Restaurants,,,
Take Care,160,7.5,American,"Murray Hill, Manhattan",$$,7/14/24,Restaurants,,,
Broad Nosh Bagels Deli & Catering 58th Street,161,7.4,Bagels,"Hell's Kitchen, Manhattan",$$,8/18/24,Bakeries,,,
Cathryn's,162,7.4,Italian,"Cold Spring, NY",$$,8/5/24,Restaurants,,,
FUMO,163,7.4,Italian,"Bloomingdale, New York, NY",$$,8/8/24,Restaurants,,,
Ho Ho Té,164,7.4,Bubble Tea,"Hell's Kitchen, Manhattan",$,8/29/24,Coffee & Tea,,,
Massawa,165,7.4,"Ethiopian, Eritrean","Morningside Heights, Manhattan",$$,6/10/24,Restaurants,,,
Spicy Moon - West Village,166,7.4,"Szechuan, Vegan, Vegetarian","South Village, Manhattan",$$,3/2/24,Restaurants,,,
ThongLor New York,167,7.4,Thai,"Hell's Kitchen, Manhattan",$$,7/3/24,Restaurants,,,
Baked by Melissa,168,7.3,Dessert,"Midtown South, Manhattan",$$,3/2/24,Ice Cream & Desserts,,,
Cibo e Vino,169,7.3,Italian,"Upper West Side, Manhattan",$$,6/10/24,Restaurants,,,
Don Antonio,170,7.3,"Italian, Pizza","Hell's Kitchen, Manhattan",$$,7/7/24,Restaurants,,,
Fuji Sushi,171,7.3,"Sushi, Japanese","Midtown West, Manhattan",$$,8/8/24,Restaurants,,,
Gong Cha,172,7.3,Bubble Tea,"Midtown Manhattan, Manhattan",$,8/29/24,Coffee & Tea,,,
Norma,173,7.3,Italian,"Kips Bay, Manhattan",$$,8/9/24,Restaurants,,,
Pep's on Grand,174,7.3,Italian,"Little Italy, Manhattan",$$$,10/5/24,Restaurants,,,
Stephanie's On Newbury,175,7.3,American,"Back Bay, Boston, MA",$$$,9/20/24,Restaurants,,,
Sushi Damo,176,7.3,"Japanese, Sushi","Midtown West, Manhattan",$$,8/8/24,Restaurants,,,
Earls Kitchen + Bar,177,7.2,American,"Prudential / St. Botolph, Boston, MA",$$$,9/12/24,Restaurants,,,
Monte's Trattoria,178,7.2,Italian,"South Village, Manhattan",$$,3/17/24,Restaurants,,,
TESSA,179,7.2,"French, Italian","Central Park West Historic District, Manhattan",$$$,3/9/24,Restaurants,,,
The Hungarian Pastry Shop,180,7.2,"Bakery, Dessert, Hungarian","Morningside Heights, Manhattan",$,3/2/24,Bakeries,,,
Blue Ribbon Sushi Bar at Hudson Eats,181,7.1,"Japanese, Sushi","Battery Park City, Manhattan",$$,8/29/24,Restaurants,,,
Café Chelsea,182,7.1,French,"Chelsea, Manhattan",$$$,8/8/24,Restaurants,,,
Cafe Luxembourg,183,7.1,French,"Lincoln Square, Manhattan",$$$,3/2/24,Restaurants,,,
Match 65 Brasserie,184,7.1,"Burgers, French, Steakhouse","Lenox Hill, Manhattan",$$$,7/28/24,Restaurants,,,
Red Poke,185,7.1,"Hawaiian, Poke","Midtown South, Manhattan",$$,8/26/24,Restaurants,,,
WHITE NOISE COFFEE CO.,186,7.1,Coffee Shop,"Hell's Kitchen, Manhattan",$,6/19/24,Coffee & Tea,,,
Brooklyn Bagel & Coffee Company,187,7.0,Bagels,"Chelsea, Manhattan",$,8/8/24,Restaurants,,,
Kraam,188,7.0,Thai,"NoMad, Manhattan",$$,10/5/24,Restaurants,,,
Milk Bar,189,7.0,Dessert,"Upper West Side, Manhattan",$$,8/8/24,Ice Cream & Desserts,,,
Pippali,190,7.0,Indian,"NoMad, Manhattan",$$,6/19/24,Restaurants,,,
Puglia,191,7.0,Italian,"Little Italy, Manhattan",$$,4/26/24,Restaurants,,,
Tripoli Restaurant,192,7.0,Lebanese,"Cobble Hill, Brooklyn",$$,3/3/24,Restaurants,,,
Bagel Market,193,6.9,Bagels,"Hell's Kitchen, Manhattan",$,7/4/24,Bakeries,,,
Butter,194,6.9,American,"Midtown Manhattan, Manhattan",$$$$,9/6/24,Restaurants,,,
Community Wine and Spirits,195,6.9,,"Chelsea, Manhattan",,7/6/24,Bars,,,
Frisson Espresso,196,6.9,Coffee Shop,"Hell's Kitchen, Manhattan",$$,8/26/24,Coffee & Tea,,,
Malii Gramercy,197,6.9,Thai,"Gramercy Park, Manhattan",$$,7/13/24,Restaurants,,,
Pisticci,198,6.9,Italian,"Morningside Heights, Manhattan",$$,6/10/24,Restaurants,,,
Serafina Italian Restaurant 77th Upper West,199,6.9,"Italian, Pizza","Upper West Side, Manhattan",$$,8/8/24,Restaurants,,,
Thai Market,200,6.9,Thai,"Bloomingdale, Manhattan",$$,6/10/24,Restaurants,,,
Time Out Market New York,201,6.9,Food Court,"Dumbo, Brooklyn",$$,8/25/24,Restaurants,,,
Wondee Siam,202,6.9,Thai,"Hell's Kitchen, Manhattan",$$,10/17/24,Restaurants,,,
Esse Taco,203,6.8,"Mexican, Tacos, Taqueira","Williamsburg, Brooklyn",$,6/22/24,Restaurants,,,
Fresh From Hell,204,6.8,Healthy,"Hell's Kitchen, Manhattan",$$,8/26/24,Restaurants,,,
Hex & Company,205,6.8,"Café, Tea, Coffee","Morningside Heights, Manhattan",$,8/8/24,Coffee & Tea,,,
Millrock Restaurant & Bar Room,206,6.8,Italian,"Windham, NY",$$,10/20/24,Restaurants,,,
RH Rooftop Restaurant New York,207,6.8,Brunch,"Meatpacking District, Manhattan",$$$,8/8/24,Restaurants,,,
sweetgreen,208,6.8,"Healthy, Salad","NoMad, Manhattan",$$,8/8/24,Restaurants,,,
Tartina,209,6.8,Italian,"Morningside Heights, Manhattan",$$,6/10/24,Restaurants,,,
Committee,210,6.7,"Greek, Mediterranean","D Street / West Broadway, Boston, MA",$$$,9/12/24,Restaurants,,,
Creperie,211,6.7,"Crepes, French","Lower East Side, Manhattan",$,7/6/24,Restaurants,,,
Gospel,212,6.7,Bar,"Nolita, Manhattan",$$$,8/25/24,Bars,,,
Junior's Restaurant and Bakery,213,6.7,Bakery,"Midtown Manhattan, Manhattan",$$,3/2/24,Bakeries,,,
Molly's Cupcakes,214,6.7,Dessert,"South Village, Manhattan",$$,3/2/24,Ice Cream & Desserts,,,
The Kati Roll Company,215,6.7,Indian,"Midtown Manhattan, Manhattan",$,8/8/24,Restaurants,,,
Arco Cafe,216,6.6,Café,"Bloomingdale, Manhattan",$$,8/8/24,Restaurants,,,
Le Monde,217,6.6,"Café, French","Morningside Heights, Manhattan",$$,6/10/24,Restaurants,,,
Amity Hall Uptown,218,6.5,"Bar, Beer, American","Bloomingdale, Manhattan",$$,6/10/24,Restaurants,,,
Anixi,219,6.5,"Vegan, Israeli, Mediterranean","Chelsea, Manhattan",$$$,9/5/24,Restaurants,,,
Barbetta,220,6.5,Italian,"Midtown West, Manhattan",$$$,3/2/24,Restaurants,,,
Sushi of Gari 46,221,6.4,"Japanese, Sushi","Hell's Kitchen, Manhattan",$$$$,8/23/24,Restaurants,,,
PHD Terrace at Dream Midtown,222,6.3,"American, Bar, Cocktail Bar","Midtown West, Manhattan",$$$,3/2/24,Bars,,,
Spritz,223,6.3,"American, Italian","Ukrainian Village, Manhattan",$$,3/2/24,Restaurants,,,
"Emmy Squared Pizza: Hell's Kitchen, New York",224,6.2,Pizza,"Hell's Kitchen, Manhattan",$$,6/22/24,Restaurants,,,
Momofuku Noodle Bar,225,6.2,"Japanese, Noodles, Ramen","Ukrainian Village, Manhattan",$$,8/8/24,Restaurants,,,
Ayada,226,6.1,Thai,"Chelsea, Manhattan",$$,3/3/24,Restaurants,,,
Hole In The Wall - Flatiron,227,6.0,"Australian, Café","Flatiron District, Manhattan",$$$,3/2/24,Coffee & Tea,,,
The Smith,228,6.0,American,"NoMad, Manhattan",$$,8/8/24,Restaurants,,,
Slate NY,229,5.9,"American, Bar","Flatiron District, Manhattan",$$$,8/23/24,Bars,,,
Bondi Sushi,230,5.8,"Japanese, Sushi","NoMad, Manhattan",$$,8/8/24,Restaurants,,,
LumLum,231,5.8,Thai,"Hell's Kitchen, Manhattan",$$,6/28/24,Restaurants,,,
White Olive,232,5.7,"Mediterranean, Turkish","Midtown West, Manhattan",$$$,7/6/24,Restaurants,,,
Village Taverna,233,5.6,Greek,"Greenwich Village, Manhattan",$$,8/31/24,Restaurants,,,
Chalong NYC,234,5.5,Thai,"Hell's Kitchen, Manhattan",$$$,10/9/24,Restaurants,,,
Community Food & Juice,235,5.5,"American, Brunch","Morningside Heights, Manhattan",$$,6/10/24,Restaurants,,,
Glass House Tavern,236,5.5,American,"Theater District, Manhattan",$$,8/8/24,Bars,,,
The Ellington,237,5.5,"American, Pub","Bloomingdale, Manhattan",$$,8/8/24,Restaurants,,,
The Smith,238,5.4,American,"Lincoln Square, Manhattan",$$,8/23/24,Restaurants,,,
108 Food Dried Hot Pot,239,5.3,Chinese,"Bloomingdale, Manhattan",$$,3/2/24,Restaurants,,,
Happy Hot Hunan,240,5.3,"Chinese, Hunan","Manhattan Valley, Manhattan",$$,3/2/24,Restaurants,,,
